15,8.7473,0.63546,16.655,15.699,0.8727,0.87277,0.066598
16,15.158,0.39278,17.936,17.659,0.94344,0.94354,0.073274
17,26.89,0.5961,18.313,18.425,0.92729,0.92739,0.085492
18,48.489,0.5124,21.366,21.062,0.86926,0.86931,0.10799
19,36.776,0.64367,20.091,21.193,0.89222,0.89225,0.095787
20,37.542,0.30391,23.48,23.337,0.86607,0.86617,0.096585
21,32.94,0.48023,24.728,21.359,0.93677,0.93698,0.091792
22,31.611,0.37922,23.167,22.022,0.92468,0.92498,0.090408
23,29.37,0.7908,26.763,26.13,0.92779,0.9279,0.088075
24,26.472,0.58252,26.225,25.872,0.94,0.94035,0.085057
1,20.8,0.6379,8.2434,4.6751,0.85675,0.85678,0.07915
2,26.285,0.39418,4.43,4.2393,0.92718,0.91576,0.084862
3,25.446,0.45314,5.0173,5.3369,0.91268,0.9111,0.083988
4,29.744,0.47275,10.033,4.4919,0.86816,0.86833,0.088464
5,30.836,0.60984,9.0408,6.1782,0.88955,0.88963,0.089601
6,38.539,0.47221,11.7,9.9586,0.8566,0.85668,0.097623
7,46.853,0.57015,9.1149,7.9165,0.94941,0.94951,0.10628
8,41.453,0.29482,12.564,9.5825,0.85628,0.85629,0.10066
9,28.916,0.46462,11.684,10.18,0.92307,0.92321,0.087602
10,17.204,0.41764,11.247,12.342,0.91728,0.91731,0.075405
11,6.3644,0.34229,15.089,12.125,0.8811,0.88127,0.064116
12,21.354,0.5508,14.869,12.952,0.88965,0.88986,0.079727
13,19.893,0.5282,16.607,16.719,0.9087,0.90895,0.078205
14,12.715,0.50335,19.184,15.39,0.872,0.87214,0.07073
15,2.5192,0.36663,16.998,17.853,0.87511,0.87538,0.060112
16,28.765,0.61275,17.15,18.539,0.88453,0.88471,0.087445
17,30.404,0.53502,18.318,19.042,0.93334,0.93386,0.089151
18,47.036,0.47009,20.874,20.014,0.88464,0.88469,0.10647
19,35.019,0.50229,24.747,20.493,0.86388,0.86401,0.093957
20,47.127,0.4738,24.505,21.503,0.91462,0.91467,0.10657
21,47.937,0.32498,22.929,21.83,0.90939,0.90963,0.10741
22,40.261,0.47143,23.72,24.07,0.938,0.93806,0.099417
23,31.663,0.41686,24.214,26.694,0.94865,0.94873,0.090463
24,35.156,0.40208,27.586,25.052,0.86119,0.8616,0.0941
1,38.52,0.38436,9.8581,1.2379,0.88369,0.6717,0.097603
2,30.907,0.44664,6.0863,2.6782,0.89299,0.89165,0.089675
3,30.721,0.29974,7.4402,4.9281,0.91225,0.901,0.089482
4,30.366,0.59642,11.137,6.557,0.94068,0.94041,0.089112
5,29.851,0.55201,13.854,7.8213,0.86991,0.86995,0.088575
6,31.95,0.498,13.577,8.1912,0.93519,0.93536,0.090761
7,38.687,0.49652,15.164,7.0026,0.88672,0.88677,0.097777
8,38.433,0.42018,11.013,9.9344,0.90051,0.90067,0.097513
9,57.5,0.60187,13.004,12.871,0.91036,0.91053,0.11737
10,71.876,0.48668,12.935,10.646,0.9015,0.90153,0.13234
11,54.011,0.42855,13.216,13.309,0.93147,0.93154,0.11374
12,70.029,0.63514,16.913,12.737,0.91196,0.91204,0.13042
13,40.389,0.47752,15.576,15.263,0.85023,0.85032,0.09955
14,29.787,0.4411,18.454,15.296,0.92174,0.92206,0.088509
15,44.001,0.47062,17.432,15.65,0.9339,0.9342,0.10331
16,45.515,0.41521,19.002,18.54,0.94093,0.94096,0.10489
17,35.978,0.38799,19.716,20.159,0.87188,0.8724,0.094956
18,40.359,0.7526,19.991,20.387,0.8778,0.87836,0.099519
19,36.364,0.66555,20.751,21.671,0.86723,0.86874,0.095358
20,41.829,0.53075,23.585,22.183,0.91438,0.91445,0.10105
21,49.804,0.37429,22.181,23.436,0.89734,0.89761,0.10935
22,43.221,0.41345,24.993,23.412,0.94243,0.94263,0.1025
23,36.025,0.48235,26.186,25.462,0.94666,0.94694,0.095005
24,34.499,0.57914,25.639,27.747,0.88777,0.8879,0.093416
1,37.201,0.3668,11.948,3.0573,0.86615,0.78336,0.09623
2,24.54,0.26701,9.0961,5.2621,0.9121,0.91222,0.083045
3,26.645,0.35509,9.2035,6.6584,0.88864,0.88874,0.085237
4,21.226,0.53335,14.914,5.1789,0.9221,0.90612,0.079593
5,18.352,0.53914,8.7039,6.481,0.86785,0.86791,0.0766
6,25.938,0.54517,8.9176,9.2478,0.91426,0.91431,0.0845
7,28.161,0.48697,8.7821,7.2511,0.86058,0.86039,0.086816
8,30.156,0.51837,11.223,11.215,0.85053,0.85096,0.088893
9,16.687,0.45238,14.177,11.313,0.90044,0.90074,0.074866
10,15.271,0.5862,12.578,10.208,0.92602,0.92614,0.073392
11,10.496,0.36383,12.21,11.597,0.9111,0.91114,0.068419
12,17.489,0.5455,18.081,14.226,0.93845,0.93851,0.075702
13,103.97,0.41513,16.761,13.558,0.90083,0.90104,0.16576
14,27.831,0.46651,20.489,15.417,0.9218,0.92216,0.086472
15,36.263,0.55528,19.58,16.471,0.94571,0.94581,0.095253
16,32.655,0.60391,17.792,19.725,0.90537,0.90611,0.091496
17,42.174,0.38824,21.804,17.909,0.88465,0.88485,0.10141
18,51.22,0.62607,19.05,21.649,0.9277,0.92836,0.11083
19,41.838,0.56601,23.392,20.098,0.87813,0.87825,0.10106
20,45.534,0.49321,21.441,23.415,0.88541,0.88576,0.10491
21,42.44,0.48048,23.929,24.319,0.87164,0.87176,0.10169
22,34.973,0.47824,25.382,25.788,0.94878,0.9488,0.09391
23,27.892,0.46969,25.817,23.13,0.87002,0.87004,0.086535
24,16.435,0.5023,25.642,26.236,0.89096,0.89142,0.074604
1,0.57569,0.50513,12.647,1.6944,0.94762,0.78771,0.058088
2,-1.8433,0.58261,5.475,3.963,0.89603,0.89445,0.055569
3,25.681,0.6527,10.363,3.4748,0.92506,0.91115,0.084233
4,22.85,0.54669,5.8534,4.3841,0.92686,0.92694,0.081285
5,15.965,0.47903,8.1975,5.3549,0.90444,0.90444,0.074115
6,10.877,0.56252,12.939,6.7019,0.91021,0.91026,0.068816
7,26.401,0.51832,15.742,10.241,0.90452,0.90471,0.084983
8,37.054,0.39702,22.429,10.726,0.9187,0.91878,0.096077
9,55.715,0.59492,14.299,9.9379,0.88882,0.88904,0.11551
10,54.187,0.53071,14.416,11.253,0.92448,0.92454,0.11392
11,31.998,0.51352,12.662,11.135,0.90778,0.90795,0.090811
12,29.096,0.55152,13.579,13.73,0.87427,0.87433,0.087789
13,18.353,0.52614,18.309,16.773,0.89712,0.89729,0.076601
14,4.0799,0.40585,17.496,17.309,0.94426,0.94458,0.061737
15,18.588,0.48377,19.363,17.94,0.90468,0.90472,0.076846
16,32.098,0.48539,18.63,17.939,0.92347,0.92385,0.090916
17,34.614,0.4468,18.255,18.422,0.90037,0.90083,0.093536
18,31.69,0.66821,20.857,20.368,0.93367,0.93388,0.090491
19,38.593,0.41243,20.65,22.877,0.86963,0.86976,0.097679
20,43.21,0.45162,23.001,20.914,0.88163,0.88198,0.10249
21,29.141,0.4288,23.067,22.432,0.94841,0.94856,0.087836
22,29.711,0.38258,23.017,24.536,0.87527,0.87544,0.08843
23,17.238,0.48078,24.171,23.589,0.8702,0.87029,0.07544
